suite,name,algorithm,data_size_bytes,throughput_mbps,mean_ms,stddev_ms,p95_ms,p99_ms,cv_percent,peak_mb,delta_mb,cpu_mean_pct,cpu_peak_pct,platform,timestamp
encryption,encrypt-64KB,ChaCha20-Poly1305,65536,929.242,0.0673,0.0052,0.0742,0.0769,7.67,0.1253,0.0627,0.0,0.0,x86_64,2026-04-27T17:03:30Z
encryption,decrypt-64KB,ChaCha20-Poly1305,65536,926.899,0.0674,0.0088,0.0785,0.0835,12.99,0.1253,0.0627,0.0,0.0,x86_64,2026-04-27T17:03:30Z
encryption,encrypt-1MB,CAGOULE,1048576,3.535,282.8801,8.3617,297.5152,317.1027,2.96,82.0064,8.0053,75.03,101.1,x86_64,2026-04-27T17:05:57Z
encryption,decrypt-1MB,CAGOULE,1048576,6.273,159.4179,4.0845,167.3017,179.1393,2.56,34.0058,1.004,66.2,99.4,x86_64,2026-04-27T17:07:19Z
encryption,encrypt-1MB,AES-256-GCM,1048576,2669.247,0.3746,0.006,0.3801,0.4027,1.6,2.0003,1.0002,0.0,0.0,x86_64,2026-04-27T17:07:19Z
encryption,decrypt-1MB,AES-256-GCM,1048576,2504.973,0.3992,0.0603,0.4398,0.4456,15.11,2.0003,1.0002,0.0,0.0,x86_64,2026-04-27T17:07:19Z
encryption,encrypt-1MB,ChaCha20-Poly1305,1048576,1231.477,0.812,0.0065,0.8207,0.8286,0.8,2.0003,1.0002,0.0,0.0,x86_64,2026-04-27T17:07:20Z
encryption,decrypt-1MB,ChaCha20-Poly1305,1048576,1155.71,0.8653,0.108,0.9626,0.9748,12.48,2.0003,1.0002,0.0,0.0,x86_64,2026-04-27T17:07:20Z
encryption,encrypt-10MB,CAGOULE,10485760,3.433,2912.5077,68.7647,3088.915,3212.328,2.36,820.0083,80.0064,98.12,119.4,x86_64,2026-04-27T17:32:24Z
encryption,decrypt-10MB,CAGOULE,10485760,6.262,1596.9138,37.6242,1667.262,1765.6131,2.36,340.0077,10.0058,100.42,119.5,x86_64,2026-04-27T17:46:06Z
encryption,encrypt-10MB,AES-256-GCM,10485760,2558.35,3.9088,0.0985,4.0539,4.4963,2.52,20.0003,10.0002,0.0,0.0,x86_64,2026-04-27T17:46:08Z
encryption,decrypt-10MB,AES-256-GCM,10485760,1810.617,5.523,1.2724,8.8589,11.0775,23.04,20.0003,10.0002,97.4,97.4,x86_64,2026-04-27T17:46:11Z
encryption,encrypt-10MB,ChaCha20-Poly1305,10485760,1050.963,9.5151,1.3749,11.7595,17.5885,14.45,20.0003,10.0002,0.0,0.0,x86_64,2026-04-27T17:46:16Z
encryption,decrypt-10MB,ChaCha20-Poly1305,10485760,975.649,10.2496,1.1782,12.7379,14.4081,11.5,20.0003,10.0002,0.0,0.0,x86_64,2026-04-27T17:46:22Z
kdf,"argon2id-t=1,m=16MB,p=1",Argon2id,0,0.0,15.0946,1.7171,17.1104,17.1104,11.38,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:22Z
kdf,"argon2id-t=1,m=16MB,p=2",Argon2id,0,0.0,9.6538,0.0139,9.6703,9.6703,0.14,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:22Z
kdf,"argon2id-t=1,m=16MB,p=4",Argon2id,0,0.0,7.1843,0.5303,7.8079,7.8079,7.38,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:22Z
kdf,"argon2id-t=1,m=64MB,p=1",Argon2id,0,0.0,109.435,29.8833,144.2004,144.2004,27.31,0.0203,0.0047,59.65,119.3,x86_64,2026-04-27T17:46:23Z
kdf,"argon2id-t=1,m=64MB,p=2",Argon2id,0,0.0,69.5731,2.4277,72.027,72.027,3.49,0.0192,0.0039,99.3,198.6,x86_64,2026-04-27T17:46:24Z
kdf,"argon2id-t=1,m=64MB,p=4",Argon2id,0,0.0,45.1022,1.7361,47.3546,47.3546,3.85,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:25Z
kdf,"argon2id-t=1,m=128MB,p=1",Argon2id,0,0.0,161.8187,5.4809,170.1863,170.1863,3.39,0.0192,0.0039,69.47,119.0,x86_64,2026-04-27T17:46:26Z
kdf,"argon2id-t=1,m=128MB,p=2",Argon2id,0,0.0,126.5461,8.9195,141.6698,141.6698,7.05,0.0192,0.0039,132.53,219.1,x86_64,2026-04-27T17:46:28Z
kdf,"argon2id-t=1,m=128MB,p=4",Argon2id,0,0.0,93.0064,1.0018,93.8586,93.8586,1.08,0.0192,0.0039,188.8,377.6,x86_64,2026-04-27T17:46:29Z
kdf,"argon2id-t=3,m=16MB,p=1",Argon2id,0,0.0,32.8388,1.6576,35.7928,35.7928,5.05,0.0194,0.0041,0.0,0.0,x86_64,2026-04-27T17:46:29Z
kdf,"argon2id-t=3,m=16MB,p=2",Argon2id,0,0.0,27.7201,0.9448,29.3188,29.3188,3.41,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:29Z
kdf,"argon2id-t=3,m=16MB,p=4",Argon2id,0,0.0,19.047,0.5632,19.7354,19.7354,2.96,0.0195,0.0042,0.0,0.0,x86_64,2026-04-27T17:46:29Z
kdf,"argon2id-t=3,m=64MB,p=1",Argon2id,0,0.0,190.6411,3.4871,195.6873,195.6873,1.83,0.0203,0.0047,79.47,119.3,x86_64,2026-04-27T17:46:31Z
kdf,"argon2id-t=3,m=64MB,p=2",Argon2id,0,0.0,144.5001,10.0018,160.4671,160.4671,6.92,0.0203,0.0047,132.47,198.8,x86_64,2026-04-27T17:46:33Z
kdf,"argon2id-t=3,m=64MB,p=4",Argon2id,0,0.0,89.6448,2.3682,92.8062,92.8062,2.64,0.0192,0.0039,188.9,377.8,x86_64,2026-04-27T17:46:34Z
kdf,"argon2id-t=3,m=128MB,p=1",Argon2id,0,0.0,371.6721,12.4843,388.6823,388.6823,3.36,0.0211,0.0051,89.33,119.2,x86_64,2026-04-27T17:46:37Z
kdf,"argon2id-t=3,m=128MB,p=2",Argon2id,0,0.0,272.7562,11.1028,290.4711,290.4711,4.07,0.021,0.0049,165.38,218.1,x86_64,2026-04-27T17:46:40Z
kdf,"argon2id-t=3,m=128MB,p=4",Argon2id,0,0.0,179.4102,3.9022,185.29,185.29,2.18,0.0203,0.0047,282.65,377.3,x86_64,2026-04-27T17:46:42Z
kdf,"argon2id-t=5,m=16MB,p=1",Argon2id,0,0.0,54.7843,3.1269,59.5013,59.5013,5.71,0.0004,0.0002,49.7,99.4,x86_64,2026-04-27T17:46:43Z
kdf,"argon2id-t=5,m=16MB,p=2",Argon2id,0,0.0,48.7607,1.5694,50.2488,50.2488,3.22,0.0192,0.0039,0.0,0.0,x86_64,2026-04-27T17:46:43Z
kdf,"argon2id-t=5,m=16MB,p=4",Argon2id,0,0.0,30.2956,0.6478,31.0646,31.0646,2.14,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:43Z
kdf,"argon2id-t=5,m=64MB,p=1",Argon2id,0,0.0,281.854,13.2392,297.0756,297.0756,4.7,0.021,0.0049,82.75,99.5,x86_64,2026-04-27T17:46:46Z
kdf,"argon2id-t=5,m=64MB,p=2",Argon2id,0,0.0,214.7273,1.9345,216.6421,216.6421,0.9,0.0203,0.0047,154.82,218.1,x86_64,2026-04-27T17:46:49Z
kdf,"argon2id-t=5,m=64MB,p=4",Argon2id,0,0.0,106.251,30.6966,138.7805,138.7805,28.89,0.0203,0.0047,189.25,378.5,x86_64,2026-04-27T17:46:50Z
kdf,"argon2id-t=5,m=128MB,p=1",Argon2id,0,0.0,381.7858,11.6264,394.4721,394.4721,3.05,0.021,0.0049,89.41,119.2,x86_64,2026-04-27T17:46:54Z
kdf,"argon2id-t=5,m=128MB,p=2",Argon2id,0,0.0,271.3575,5.2395,277.5639,277.5639,1.93,0.021,0.0049,155.75,199.2,x86_64,2026-04-27T17:46:56Z
kdf,"argon2id-t=5,m=128MB,p=4",Argon2id,0,0.0,154.1431,1.7426,156.5276,156.5276,1.13,0.0192,0.0039,253.8,358.8,x86_64,2026-04-27T17:46:58Z
kdf,pbkdf2-sha256-100k,PBKDF2-SHA256,0,0.0,20.3852,0.1913,20.7103,20.7103,0.94,0.0004,0.0002,0.0,0.0,x86_64,2026-04-27T17:46:58Z
kdf,pbkdf2-sha256-300k,PBKDF2-SHA256,0,0.0,63.6147,0.2314,63.8488,63.8488,0.36,0.0193,0.0039,49.8,99.6,x86_64,2026-04-27T17:46:59Z
kdf,pbkdf2-sha256-600k,PBKDF2-SHA256,0,0.0,126.881,0.2625,127.1392,127.1392,0.21,0.0204,0.0063,66.43,99.7,x86_64,2026-04-27T17:47:00Z
memory,vault-creation-10,Vault,10240,0.0,0.0478,0.0007,0.0486,0.0486,1.53,0.0111,0.0109,0.0,0.0,x86_64,2026-04-27T17:47:00Z
memory,vault-creation-100,Vault,102400,0.0,0.7948,0.0361,0.8252,0.8252,4.55,0.1091,0.1089,0.0,0.0,x86_64,2026-04-27T17:47:00Z
memory,vault-creation-1000,Vault,1024000,0.0,2.6575,0.0981,2.7703,2.7703,3.69,1.0817,1.0816,5073.4,5073.4,x86_64,2026-04-27T17:47:00Z
memory,cache-sequential,Cache Analysis,102400,0.0,0.0045,0.0004,0.0049,0.0049,8.42,0.0,0.0,0.0,0.0,x86_64,2026-04-27T17:47:00Z
memory,random-vs-sequential,Access Pattern,102400,0.0,0.0402,0.0038,0.0443,0.0443,9.35,0.0,0.0,0.0,0.0,x86_64,2026-04-27T17:47:00Z
parallel,sequential-1000ops,Sequential,1048576000,36.106,27696.5297,20.3867,27719.2568,27719.2568,0.07,0.0,0.0,0.0,0.0,x86_64,2026-04-27T17:48:51Z
parallel,parallel-1000ops-2workers,Parallel (2 workers),1048576000,69.943,14297.2654,10.2966,14305.3442,14305.3442,0.07,1003.0907,0.1049,8.46,130.3,x86_64,2026-04-27T17:50:17Z
parallel,parallel-1000ops-4workers,Parallel (4 workers),1048576000,138.112,7240.4764,6.1847,7244.0586,7244.0586,0.09,1003.016,0.0332,14.91,98.3,x86_64,2026-04-27T17:51:01Z
parallel,parallel-1000ops-8workers,Parallel (8 workers),1048576000,233.287,4286.561,15.1951,4299.4665,4299.4665,0.35,1003.0359,0.0507,28.3,114.2,x86_64,2026-04-27T17:51:26Z
parallel,gil-analysis,Documentation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x86_64,2026-04-27T17:51:26Z
